Cliente_Comprou_o_Titulo?,Idade,Profissao,Estado_Civil,Formacao,Cliente_Devedor?,Saldo_Conta_Corrente,Tem_Hipoteca?,Tem_Emprestimo?,Qte_de_Ligacoes_Feitas
Sim,20,Estudante,Solteiro,Desconhecido,Não,2785,Não,Não,2
Sim,20,Estudante,Solteiro,Ensino Médio,Não,153,Não,Não,1
Sim,20,Estudante,Solteiro,Desconhecido,Não,801,Não,Não,2
Sim,20,Estudante,Solteiro,Desconhecido,Não,829,Não,Não,3
Sim,20,Estudante,Solteiro,Desconhecido,Não,829,Não,Não,2
Sim,20,Estudante,Solteiro,Ensino Médio,Não,215,Não,Não,1
Não,20,Estudante,Solteiro,Ensino Médio,Não,130,Não,Não,3
Sim,20,Estudante,Solteiro,Ensino Médio,Não,1819,Não,Não,3
Sim,20,Estudante,Solteiro,Ensino Médio,Não,502,Não,Não,1
Não,20,Administrador,Solteiro,Ensino Médio,Não,336,Não,Sim,1
Não,20,Estudante,Solteiro,Fundamental,Não,134,Não,Não,1
Sim,20,Estudante,Casado,Desconhecido,Não,292,Não,Não,2
Sim,20,Estudante,Solteiro,Desconhecido,Não,755,Não,Não,1
Sim,20,Estudante,Solteiro,Ensino Médio,Não,215,Não,Não,1
Não,20,Estudante,Solteiro,Ensino Superior,Não,2764,Sim,Não,2
Sim,20,Operário,Solteiro,Ensino Médio,Não,423,Sim,Não,1
Não,21,Estudante,Solteiro,Ensino Superior,Não,1258,Não,Não,1
Não,21,Operário,Solteiro,Ensino Médio,Não,2265,Não,Não,4
Sim,21,Estudante,Solteiro,Ensino Médio,Não,123,Não,Não,1
Não,21,Estudante,Solteiro,Ensino Médio,Não,357,Não,Não,3
Sim,21,Estudante,Solteiro,Ensino Médio,Não,123,Não,Não,5
Sim,21,Empresário,Solteiro,Ensino Superior,Não,2077,Não,Não,1
Não,21,Estudante,Solteiro,Desconhecido,Não,137,Sim,Não,3
Não,21,Administrador,Solteiro,Ensino Superior,Não,243,Não,Sim,2
Sim,21,Estudante,Solteiro,Ensino Médio,Não,2488,Não,Não,1
Sim,21,Estudante,Solteiro,Ensino Médio,Não,2488,Não,Não,6
Sim,21,Estudante,Solteiro,Ensino Médio,Não,794,Não,Não,1
Sim,21,Estudante,Solteiro,Ensino Médio,Não,2488,Não,Não,2
Sim,21,Estudante,Solteiro,Desconhecido,Não,53,Não,Não,1
Não,21,Serviços Gerais,Solteiro,Ensino Médio,Não,361,Não,Não,1
Sim,21,Administrador,Solteiro,Ensino Médio,Não,524,Não,Não,1
Sim,21,Estudante,Solteiro,Ensino Médio,Não,216,Não,Não,1
Sim,21,Estudante,Solteiro,Ensino Médio,Não,71,Não,Não,2
Sim,21,Estudante,Solteiro,Fundamental,Não,423,Não,Não,5
Sim,21,Estudante,Solteiro,Ensino Médio,Não,215,Não,Não,1
Sim,21,Técnico,Solteiro,Desconhecido,Não,360,Não,Não,2
Sim,21,Estudante,Solteiro,Ensino Médio,Não,224,Não,Não,1
Sim,21,Estudante,Solteiro,Fundamental,Não,423,Não,Não,5
Sim,21,Estudante,Solteiro,Desconhecido,Não,1506,Não,Não,1
Não,21,Desempregado,Solteiro,Ensino Médio,Não,1333,Não,Não,1
Sim,21,Operário,Solteiro,Ensino Médio,Não,2265,Não,Não,2
Sim,21,Estudante,Solteiro,Ensino Médio,Não,123,Não,Não,1
Sim,21,Operário,Solteiro,Ensino Médio,Não,682,Não,Não,1
Sim,21,Estudante,Solteiro,Fundamental,Não,8278,Não,Não,1
Não,21,Estudante,Solteiro,Desconhecido,Não,200,Não,Não,1
Não,22,Estudante,Solteiro,Desconhecido,Não,1,Não,Não,4
Sim,22,Técnico,Solteiro,Ensino Médio,Não,283,Sim,Não,2
Sim,22,Desempregado,Solteiro,Ensino Superior,Não,993,Não,Não,3
Sim,22,Estudante,Solteiro,Ensino Médio,Não,71,Não,Não,1
Não,22,Administrador,Solteiro,Ensino Superior,Não,760,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,948,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,107,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,2488,Não,Não,2
Sim,22,Estudante,Solteiro,Ensino Médio,Não,254,Não,Não,2
Sim,22,Estudante,Solteiro,Desconhecido,Não,1232,Não,Não,1
Sim,22,Estudante,Solteiro,Desconhecido,Não,1215,Não,Não,3
Sim,22,Estudante,Solteiro,Ensino Médio,Não,216,Não,Não,1
Não,22,Estudante,Solteiro,Desconhecido,Não,3317,Não,Não,1
Sim,22,Serviços Gerais,Solteiro,Ensino Médio,Não,344,Sim,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,216,Não,Não,1
Não,22,Estudante,Solteiro,Ensino Superior,Não,1161,Não,Sim,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,185,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,23,Não,Não,1
Sim,22,Administrador,Solteiro,Ensino Superior,Não,104,Não,Sim,3
Não,22,Estudante,Solteiro,Ensino Médio,Não,64,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,144,Não,Não,1
Sim,22,Operário,Solteiro,Ensino Médio,Não,682,Não,Não,2
Sim,22,Autônomo,Solteiro,Ensino Superior,Não,780,Não,Não,3
Sim,22,Estudante,Solteiro,Fundamental,Não,3472,Não,Não,1
Sim,22,Administrador,Solteiro,Ensino Médio,Não,33,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,1522,Não,Não,2
Sim,22,Estudante,Solteiro,Ensino Médio,Não,552,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Superior,Não,691,Não,Não,5
Não,22,Estudante,Solteiro,Ensino Médio,Não,2162,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,381,Não,Não,1
Sim,22,Administrador,Solteiro,Ensino Superior,Não,897,Sim,Não,4
Sim,22,Diarista,Solteiro,Ensino Médio,Não,1796,Não,Não,3
Sim,22,Serviços Gerais,Solteiro,Ensino Médio,Não,129,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,3982,Não,Não,1
Sim,22,Serviços Gerais,Solteiro,Ensino Médio,Não,129,Não,Não,2
Sim,22,Estudante,Solteiro,Desconhecido,Não,466,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Médio,Não,948,Não,Não,1
Sim,22,Estudante,Solteiro,Fundamental,Não,3472,Não,Não,1
Sim,22,Estudante,Solteiro,Ensino Superior,Não,691,Não,Não,1
Sim,22,Administrador,Solteiro,Ensino Superior,Não,104,Não,Sim,1
Não,22,Estudante,Solteiro,Desconhecido,Não,549,Não,Não,1
Sim,22,Estudante,Solteiro,Fundamental,Não,423,Não,Não,1
Sim,22,Administrador,Solteiro,Ensino Médio,Não,114,Não,Não,1
Sim,22,Autônomo,Solteiro,Ensino Médio,Não,2138,Não,Sim,1
Sim,22,Administrador,Solteiro,Ensino Médio,Não,372,Não,Não,1
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,870,Não,Não,4
Sim,23,Desempregado,Solteiro,Fundamental,Não,1003,Não,Não,1
Sim,23,Estudante,Solteiro,Desconhecido,Não,2530,Não,Não,1
Sim,23,Administrador,Solteiro,Ensino Superior,Não,2143,Não,Não,2
Não,23,Serviços Gerais,Casado,Ensino Médio,Não,1309,Sim,Não,2
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,488,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,1298,Não,Não,1
Não,23,Estudante,Solteiro,Desconhecido,Não,565,Não,Não,7
Não,23,Estudante,Solteiro,Ensino Médio,Não,151,Sim,Não,1
Sim,23,Técnico,Solteiro,Ensino Superior,Não,1129,Sim,Não,1
Sim,23,Administrador,Solteiro,Ensino Superior,Não,897,Sim,Não,2
Sim,23,Técnico,Solteiro,Ensino Médio,Não,598,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,1234,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,107,Não,Não,5
Não,23,Estudante,Solteiro,Ensino Médio,Não,486,Não,Não,1
Sim,23,Diarista,Casado,Ensino Superior,Não,66,Sim,Não,2
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,488,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Superior,Não,691,Não,Não,1
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,279,Sim,Não,1
Não,23,Estudante,Solteiro,Ensino Médio,Não,556,Sim,Não,2
Sim,23,Administrador,Solteiro,Ensino Superior,Não,1807,Não,Não,1
Não,23,Estudante,Solteiro,Ensino Médio,Não,9216,Não,Não,2
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,31,Não,Não,1
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,870,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Superior,Não,113,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,431,Não,Não,3
Sim,23,Estudante,Solteiro,Ensino Médio,Não,107,Não,Não,1
Não,23,Administrador,Solteiro,Ensino Médio,Não,1104,Sim,Não,2
Não,23,Operário,Casado,Ensino Médio,Não,94,Sim,Não,1
Sim,23,Administrador,Solteiro,Ensino Superior,Não,314,Não,Sim,4
Não,23,Diarista,Solteiro,Fundamental,Não,93,Sim,Não,3
Sim,23,Estudante,Solteiro,Ensino Médio,Não,431,Não,Não,2
Sim,23,Autônomo,Solteiro,Ensino Superior,Não,780,Não,Não,1
Sim,23,Técnico,Solteiro,Ensino Médio,Não,283,Sim,Não,1
Não,23,Técnico,Solteiro,Ensino Médio,Não,1587,Sim,Sim,2
Não,23,Técnico,Solteiro,Ensino Médio,Não,356,Sim,Não,2
Não,23,Operário,Solteiro,Ensino Médio,Não,537,Sim,Não,1
Não,23,Técnico,Solteiro,Desconhecido,Não,231,Sim,Não,3
Não,23,Técnico,Solteiro,Ensino Médio,Não,598,Não,Não,1
Sim,23,Técnico,Solteiro,Ensino Médio,Não,4,Sim,Não,1
Sim,23,Estudante,Solteiro,Desconhecido,Não,854,Sim,Não,2
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,665,Sim,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,480,Não,Não,2
Sim,23,Empresário,Solteiro,Fundamental,Não,4,Sim,Não,2
Sim,23,Operário,Solteiro,Ensino Médio,Não,492,Sim,Não,1
Sim,23,Operário,Casado,Ensino Médio,Não,272,Não,Não,2
Não,23,Operário,Solteiro,Ensino Médio,Não,105,Sim,Não,2
Sim,23,Estudante,Solteiro,Ensino Médio,Não,1234,Não,Não,1
Não,23,Administrador,Casado,Ensino Médio,Não,299,Sim,Não,1
Sim,23,Administrador,Solteiro,Ensino Superior,Não,1506,Não,Não,4
Não,23,Técnico,Solteiro,Ensino Médio,Não,4545,Não,Não,1
Não,23,Administrador,Solteiro,Ensino Superior,Não,2605,Sim,Não,6
Sim,23,Estudante,Solteiro,Ensino Médio,Não,4126,Não,Não,2
Não,23,Estudante,Solteiro,Ensino Médio,Não,8494,Não,Não,2
Sim,23,Serviços Gerais,Solteiro,Ensino Médio,Não,425,Sim,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,794,Não,Não,3
Não,23,Estudante,Solteiro,Ensino Superior,Não,82,Não,Não,4
Sim,23,Estudante,Solteiro,Ensino Médio,Não,381,Não,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,1809,Não,Não,2
Não,23,Administrador,Solteiro,Ensino Médio,Não,252,Sim,Não,1
Sim,23,Estudante,Solteiro,Ensino Médio,Não,922,Não,Não,2
Sim,23,Operário,Solteiro,Ensino Médio,Não,780,Sim,Não,1
Sim,24,Autônomo,Solteiro,Ensino Superior,Não,2376,Não,Não,1
Não,24,Administrador,Casado,Ensino Médio,Não,541,Sim,Não,4
Não,24,Administrador,Casado,Ensino Médio,Não,230,Sim,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,1123,Não,Não,1
Sim,24,Operário,Solteiro,Ensino Médio,Não,9883,Não,Não,5
Não,24,Operário,Solteiro,Ensino Médio,Não,3,Sim,Não,1
Sim,24,Operário,Solteiro,Ensino Médio,Não,833,Sim,Não,1
Sim,24,Estudante,Solteiro,Ensino Superior,Não,235,Não,Não,1
Sim,24,Administrador,Casado,Ensino Médio,Não,867,Sim,Não,10
Não,24,Estudante,Solteiro,Ensino Médio,Não,423,Sim,Não,3
Sim,24,Estudante,Solteiro,Ensino Médio,Não,689,Não,Não,1
Não,24,Técnico,Solteiro,Ensino Médio,Não,135,Sim,Sim,1
Sim,24,Administrador,Solteiro,Ensino Médio,Não,1295,Não,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,125,Não,Não,1
Não,24,Administrador,Casado,Ensino Médio,Não,299,Sim,Não,1
Sim,24,Operário,Solteiro,Ensino Médio,Não,167,Não,Sim,2
Sim,24,Estudante,Solteiro,Ensino Superior,Não,834,Não,Não,1
Não,24,Autônomo,Solteiro,Ensino Superior,Não,91,Sim,Não,2
Sim,24,Operário,Casado,Ensino Médio,Não,685,Sim,Não,3
Sim,24,Técnico,Solteiro,Ensino Médio,Não,409,Sim,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,139,Não,Não,4
Sim,24,Técnico,Casado,Ensino Médio,Não,556,Sim,Não,1
Sim,24,Técnico,Casado,Ensino Médio,Não,556,Sim,Não,2
Sim,24,Estudante,Solteiro,Ensino Superior,Não,3415,Não,Não,1
Sim,24,Desempregado,Solteiro,Ensino Médio,Não,2573,Não,Não,2
Sim,24,Operário,Solteiro,Ensino Médio,Não,174,Sim,Sim,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,382,Não,Não,2
Não,24,Administrador,Solteiro,Ensino Médio,Não,172,Não,Não,1
Sim,24,Administrador,Solteiro,Ensino Superior,Não,2845,Não,Não,2
Sim,24,Serviços Gerais,Solteiro,Desconhecido,Não,2022,Não,Não,4
Não,24,Estudante,Solteiro,Desconhecido,Não,782,Não,Não,7
Não,24,Operário,Solteiro,Ensino Médio,Não,1,Sim,Não,2
Sim,24,Estudante,Solteiro,Ensino Médio,Não,387,Não,Não,8
Sim,24,Administrador,Casado,Desconhecido,Não,448,Não,Não,1
Sim,24,Administrador,Solteiro,Ensino Superior,Não,1506,Não,Não,2
Sim,24,Operário,Solteiro,Ensino Médio,Não,167,Não,Sim,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,23878,Não,Não,1
Não,24,Serviços Gerais,Solteiro,Ensino Médio,Não,11,Sim,Não,4
Sim,24,Administrador,Solteiro,Ensino Superior,Não,1030,Não,Não,2
Sim,24,Operário,Solteiro,Ensino Médio,Não,1857,Sim,Não,1
Não,24,Autônomo,Solteiro,Ensino Superior,Não,931,Sim,Não,4
Sim,24,Administrador,Solteiro,Ensino Superior,Não,736,Sim,Não,2
Sim,24,Estudante,Solteiro,Ensino Médio,Não,382,Não,Não,2
Sim,24,Estudante,Solteiro,Ensino Médio,Não,597,Sim,Não,3
Sim,24,Técnico,Solteiro,Ensino Médio,Não,726,Não,Não,2
Sim,24,Serviços Gerais,Casado,Ensino Médio,Não,4500,Sim,Não,2
Não,24,Administrador,Solteiro,Ensino Superior,Não,1141,Sim,Não,1
Sim,24,Estudante,Solteiro,Fundamental,Não,474,Não,Não,1
Sim,24,Operário,Casado,Fundamental,Não,656,Sim,Não,1
Sim,24,Administrador,Solteiro,Ensino Superior,Não,674,Sim,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,3176,Não,Não,2
Sim,24,Estudante,Solteiro,Ensino Médio,Não,822,Não,Não,1
Sim,24,Administrador,Solteiro,Ensino Superior,Não,1,Não,Não,5
Não,24,Serviços Gerais,Solteiro,Ensino Médio,Não,1299,Sim,Sim,2
Não,24,Operário,Casado,Ensino Médio,Não,1222,Sim,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,8165,Não,Não,1
Sim,24,Administrador,Solteiro,Ensino Médio,Não,166,Não,Não,2
Sim,24,Técnico,Solteiro,Ensino Médio,Não,403,Não,Não,1
Sim,24,Estudante,Solteiro,Ensino Superior,Não,235,Não,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,1250,Não,Não,2
Sim,24,Administrador,Solteiro,Ensino Superior,Não,393,Não,Não,1
Sim,24,Técnico,Solteiro,Ensino Médio,Não,598,Não,Não,1
Sim,24,Administrador,Solteiro,Ensino Médio,Não,1295,Não,Não,2
Não,24,Administrador,Solteiro,Ensino Médio,Não,1235,Sim,Sim,3
Sim,24,Administrador,Solteiro,Ensino Médio,Não,1052,Não,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,1809,Não,Não,1
Não,24,Operário,Solteiro,Ensino Médio,Não,327,Sim,Não,2
Sim,24,Estudante,Solteiro,Ensino Médio,Não,1925,Não,Não,1
Sim,24,Serviços Gerais,Solteiro,Ensino Médio,Não,414,Sim,Não,1
Não,24,Administrador,Casado,Ensino Médio,Não,2278,Sim,Não,4
Sim,24,Estudante,Solteiro,Ensino Médio,Não,431,Não,Não,11
Sim,24,Operário,Casado,Ensino Médio,Não,272,Não,Não,2
Não,24,Operário,Solteiro,Fundamental,Não,1033,Sim,Não,1
Não,24,Estudante,Solteiro,Ensino Médio,Não,493,Sim,Não,4
Sim,24,Técnico,Casado,Ensino Médio,Não,556,Sim,Não,2
Sim,24,Estudante,Solteiro,Ensino Médio,Não,23878,Não,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,1234,Não,Não,1
Sim,24,Estudante,Solteiro,Fundamental,Não,1235,Não,Não,4
Sim,24,Estudante,Solteiro,Desconhecido,Não,358,Não,Não,1
Sim,24,Autônomo,Solteiro,Ensino Superior,Não,2984,Sim,Não,1
Sim,24,Estudante,Solteiro,Ensino Médio,Não,4126,Não,Não,4
Sim,24,Serviços Gerais,Solteiro,Ensino Médio,Não,638,Sim,Sim,3
Sim,24,Administrador,Solteiro,Ensino Superior,Não,507,Não,Não,1
Não,24,Operário,Solteiro,Ensino Médio,Não,476,Sim,Não,1
Não,24,Administrador,Solteiro,Ensino Médio,Não,86,Não,Não,2
Sim,25,Serviços Gerais,Solteiro,Ensino Médio,Não,1119,Sim,Não,1
Sim,25,Operário,Solteiro,Ensino Médio,Não,1243,Não,Sim,7
Não,25,Administrador,Solteiro,Ensino Médio,Não,1272,Sim,Não,2
Não,25,Administrador,Solteiro,Ensino Superior,Não,2305,Não,Não,1
Sim,25,Administrador,Solteiro,Ensino Superior,Não,219,Não,Não,1
Sim,25,Administrador,Solteiro,Ensino Médio,Não,285,Não,Não,3
Sim,25,Administrador,Solteiro,Ensino Médio,Não,1871,Não,Não,1
Não,25,Operário,Solteiro,Ensino Médio,Não,543,Sim,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,1957,Não,Não,4
Sim,25,Administrador,Solteiro,Ensino Médio,Não,82,Não,Sim,2
Sim,25,Administrador,Solteiro,Ensino Médio,Não,507,Sim,Não,1
Sim,25,Técnico,Solteiro,Ensino Médio,Não,1199,Não,Não,1
Sim,25,Administrador,Solteiro,Ensino Superior,Não,808,Não,Não,2
Sim,25,Operário,Solteiro,Ensino Médio,Não,1857,Sim,Não,1
Não,25,Administrador,Solteiro,Ensino Superior,Não,2140,Não,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,358,Não,Não,1
Não,25,Técnico,Solteiro,Ensino Superior,Não,800,Sim,Não,4
Sim,25,Administrador,Casado,Ensino Superior,Não,4461,Não,Não,5
Não,25,Estudante,Solteiro,Ensino Médio,Não,1139,Sim,Não,3
Sim,25,Estudante,Solteiro,Ensino Médio,Não,4147,Não,Não,3
Sim,25,Estudante,Solteiro,Ensino Médio,Não,1747,Sim,Não,1
Sim,25,Estudante,Solteiro,Ensino Superior,Não,58,Não,Não,5
Não,25,Técnico,Solteiro,Ensino Superior,Não,148,Não,Não,1
Sim,25,Administrador,Solteiro,Ensino Superior,Não,316,Não,Não,2
Sim,25,Estudante,Solteiro,Ensino Médio,Não,469,Não,Não,1
Não,25,Serviços Gerais,Divorciado,Ensino Médio,Não,1694,Não,Não,2
Sim,25,Estudante,Solteiro,Ensino Médio,Não,2354,Não,Não,7
Não,25,Operário,Solteiro,Ensino Médio,Não,192,Não,Não,2
Sim,25,Operário,Solteiro,Fundamental,Não,2483,Não,Não,3
Não,25,Estudante,Solteiro,Ensino Médio,Não,293,Sim,Não,2
Não,25,Administrador,Solteiro,Ensino Superior,Não,490,Não,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,1868,Não,Não,1
Sim,25,Técnico,Solteiro,Ensino Médio,Não,102,Não,Sim,2
Não,25,Serviços Gerais,Solteiro,Ensino Superior,Não,130,Sim,Não,1
Sim,25,Estudante,Solteiro,Desconhecido,Não,277,Não,Não,2
Sim,25,Administrador,Casado,Desconhecido,Não,448,Não,Não,1
Não,25,Estudante,Solteiro,Ensino Médio,Não,469,Não,Não,1
Não,25,Serviços Gerais,Solteiro,Ensino Médio,Não,628,Não,Não,1
Sim,25,Operário,Solteiro,Ensino Médio,Não,1857,Sim,Não,4
Não,25,Técnico,Solteiro,Ensino Médio,Não,1847,Não,Não,2
Sim,25,Técnico,Solteiro,Ensino Médio,Não,505,Não,Sim,2
Sim,25,Estudante,Solteiro,Ensino Médio,Não,8,Não,Não,2
Sim,25,Técnico,Solteiro,Ensino Médio,Não,325,Não,Não,3
Sim,25,Administrador,Solteiro,Ensino Superior,Não,362,Não,Não,2
Sim,25,Operário,Solteiro,Ensino Médio,Não,509,Não,Não,1
Sim,25,Técnico,Solteiro,Ensino Médio,Não,139,Não,Sim,1
Sim,25,Estudante,Solteiro,Desconhecido,Não,480,Não,Não,1
Sim,25,Operário,Solteiro,Fundamental,Não,52,Sim,Não,2
Não,25,Administrador,Solteiro,Ensino Superior,Não,1141,Sim,Não,1
Sim,25,Desempregado,Solteiro,Ensino Superior,Não,343,Não,Não,1
Não,25,Operário,Casado,Ensino Médio,Não,1782,Sim,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,108,Não,Não,3
Sim,25,Estudante,Solteiro,Ensino Superior,Não,253,Não,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,3713,Não,Não,2
Não,25,Administrador,Solteiro,Ensino Médio,Não,96,Sim,Não,2
Sim,25,Administrador,Casado,Ensino Médio,Não,2228,Sim,Não,1
Não,25,Estudante,Solteiro,Ensino Médio,Não,3090,Não,Não,1
Não,25,Administrador,Solteiro,Ensino Superior,Não,1602,Sim,Não,1
Sim,25,Estudante,Solteiro,Desconhecido,Não,1003,Não,Não,1
Não,25,Administrador,Solteiro,Ensino Médio,Não,120,Sim,Não,1
Sim,25,Estudante,Solteiro,Ensino Superior,Não,1189,Não,Não,1
Sim,25,Técnico,Solteiro,Ensino Médio,Não,4718,Não,Não,1
Não,25,Administrador,Solteiro,Ensino Superior,Não,220,Não,Não,1
Não,25,Estudante,Solteiro,Ensino Superior,Não,505,Sim,Não,1
Não,25,Serviços Gerais,Solteiro,Ensino Médio,Não,199,Não,Não,2
Sim,25,Administrador,Solteiro,Ensino Superior,Não,528,Não,Não,1
Não,25,Operário,Solteiro,Ensino Médio,Não,76,Não,Sim,4
Sim,25,Serviços Gerais,Solteiro,Ensino Superior,Não,12,Não,Não,6
Sim,25,Administrador,Solteiro,Ensino Superior,Não,943,Não,Não,1
Não,25,Administrador,Solteiro,Ensino Médio,Não,184,Não,Sim,7
Sim,25,Estudante,Solteiro,Ensino Médio,Não,679,Não,Não,5
Sim,25,Operário,Solteiro,Fundamental,Não,292,Sim,Sim,2
Sim,25,Operário,Casado,Ensino Médio,Não,101,Não,Sim,3
Sim,25,Técnico,Solteiro,Ensino Médio,Não,4859,Não,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,331,Não,Não,4
Sim,25,Técnico,Solteiro,Ensino Superior,Não,3411,Não,Não,2
Sim,25,Estudante,Solteiro,Ensino Superior,Não,326,Não,Não,1
Sim,25,Desempregado,Solteiro,Fundamental,Não,129,Não,Não,3
Sim,25,Administrador,Casado,Fundamental,Não,168,Sim,Não,1
Sim,25,Administrador,Casado,Desconhecido,Não,349,Sim,Não,8
Sim,25,Administrador,Casado,Ensino Superior,Não,906,Não,Não,1
Sim,25,Administrador,Solteiro,Ensino Superior,Não,1185,Não,Não,1
Sim,25,Administrador,Solteiro,Ensino Médio,Não,483,Não,Sim,1
Não,25,Administrador,Solteiro,Ensino Médio,Não,483,Não,Sim,1
Sim,25,Técnico,Solteiro,Ensino Superior,Não,1231,Não,Não,2
Não,25,Técnico,Solteiro,Ensino Médio,Não,1298,Não,Não,7
Não,25,Administrador,Solteiro,Ensino Médio,Não,654,Não,Não,1
Sim,25,Estudante,Solteiro,Ensino Médio,Não,486,Não,Não,3
Não,25,Serviços Gerais,Casado,Ensino Médio,Não,4522,Sim,Não,4
Não,25,Administrador,Solteiro,Ensino Superior,Não,2399,Sim,Não,2
Sim,25,Administrador,Solteiro,Ensino Superior,Não,760,Sim,Não,3
Sim,25,Serviços Gerais,Solteiro,Ensino Médio,Não,2311,Não,Sim,2
Sim,25,Técnico,Casado,Ensino Superior,Não,2551,Não,Não,3
Sim,25,Estudante,Solteiro,Desconhecido,Não,3,Não,Não,1
Não,25,Autônomo,Casado,Ensino Superior,Não,1182,Sim,Não,2
Sim,25,Administrador,Solteiro,Ensino Médio,Não,1871,Não,Não,1
Sim,25,Operário,Solteiro,Ensino Médio,Não,189,Não,Sim,2
Sim,25,Administrador,Solteiro,Ensino Superior,Não,219,Não,Não,1
Não,25,Estudante,Solteiro,Desconhecido,Não,2503,Não,Não,2
Sim,25,Operário,Casado,Ensino Médio,Não,97,Sim,Não,1
